BTF_ID,Station,Unit,BTF Date,BTF Time,BTF Weight,BTF Prim Sec,Region,Sub-region,Sub-sub-region,Locn along tube,Feature,Offset ID,El,Tube,Tube circuit,Tube pass,Failure mode,FM_Group,FM_Detail,Notes,Butt weld count,Notes Secondary Damage,External release,Event driven,BTF date retrospective,BTF time retrospective,Survey locn,Date of Last Inspection,Outage Code,Outage type,Outage DateTime Start,Outage dateTime Finish,LOA op derate,LOA run-down,LOA outage,LOA run-up,LOA masked,LOA $,Notes Outage LOA,Plant Failure Report,BTF Report
BW1_2022-07-19_SH,BW,BW1,19/07/2022,,1,1,SH,SH2,Inlet,Inlet stub,,,Panel 3,T74,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Other,,,,,N,,,,,,Forced,22/07/2022 16:52,,,,,,,,,,
LY1_2022-07-04_SH_a,LY,LY1,4/07/2022,,0.5,1,SH,SH4,Upper bank,SBL D-E,SBL,,E02,T12,,,Rupture,Erosion,Erosion: Sootblower,Lots of SB erosion: suspect condensate issue,,,N,N,,,SH4_UB_SBL_DE,,FU012204,Forced,5/07/2022 17:46,10/07/2022 11:35,0.01,0.14,63.737,0.56,0,"$19,150,000",,,
LY1_2022-07-04_SH_b,LY,LY1,4/07/2022,,0.5,1,SH,SH4,Upper bank,SBL D-E,SBL,,E03,T12,,,Rupture,Erosion,Erosion: Sootblower,Lots of SB erosion: suspect condensate issue,,,N,N,,,SH4_UB_SBL_DE,,FU012204,Forced,5/07/2022 17:46,10/07/2022 11:35,0.01,0.14,63.737,0.56,0,"$19,150,000",,,
BW2_2022-06-07_SH,BW,BW2,3/06/2022,,1,1,SH,SH2,Inlet,Inlet stub,,,Panel 5,T88,,,,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Other,"Crack at bore match notch in 304H just d/s of DMW in inlet stub
1st identified by ODC via acoutic leak data",,"T77 holed, WW tube holed",N,N,,,,,,Forced,8/06/2022 3:50,,,,,,,,,,
LY1_2022-05-22_Evap,LY,LY1,31/05/2022,,1,1,Evap,WW: Front,Corner SW,Floor 09,Corner door,,LIFP1,T01,,,Rupture,Creep rupture,Creep: Long term,Lower bend of T01 Rear Wall,2,,N,N,,,,,FU012203,Forced,2/06/2022 22:26,6/06/2022 8:44,,0.42,46.096,0.82,,"$5,290,000",,,
BW1_2022-04-18_RH,BW,BW1,28/04/2022,,1,1,RH,RH4,,Mid-height vertical leg,Straight,,E031,T01,,,Rupture,Creep rupture,Creep: Long term,Primary failure appears to be long term overheating,,5 tubes suffered secondary damage,N,N,,,Level 11,21-Nov-21,FB1S2201,Forced,27/04/2022 21:05,17/05/2022 21:44,,1.42,317.225,3.63,,"$58,500,000",,BW1-PW158619-01 ,
LY1_2022-04-27_Evap,LY,LY1,27/04/2022,,1,1,Evap,WW: Front,Corner NW,Floor 09,Corner door,,LIRP6,T01,,,Rupture,Creep rupture,Creep: Long term,Lower bend of T01 Rear Wall,2,,N,N,,,,,FU012202,Forced,2/06/2022 22:26,6/06/2022 8:44,,0.42,46.096,0.82,,"$5,290,000",,,
LY1_2022-03-16_Evap,LY,LY1,16/03/2022,,1,1,Evap,WW: Rear,Corner NW,Floor 07,Corner door,,,T01,,,Rupture,Creep rupture,Creep: Long term,,,,N,N,,,,,FU012201,Maintenance,16/03/2022 2:20,23/03/2022 1:12,0,0,0,0,90,0,LOA assigned to RH2 leak that brought unit offline,,
LY1_2022-03-16_RH_a,LY,LY1,15/03/2022,,1,1,RH,RH1,Lower bank,C/R A,Straight,,E079,T15,,,Hole,Corrosion - pitting/wastage,Corrosion: Bore-side — Pitting,,2,,N,N,,,,,FU012201,Forced,16/03/2022 2:20,23/03/2022 1:12,0,0,0,0,90,0,LOA assigned to RH2 leak that brought unit offline,,
LY1_2022-03-16_RH_b,LY,LY1,15/03/2022,,0.2,1,RH,RH2,Lower bank,SBL B-C,Straight,,E10,T08,,,Rupture,Erosion,Erosion: Sootblower,5 prim failures.  But assume all condensate driven so count as 1 BTF.,2,,N,N,,,,,FU012201,Forced,16/03/2022 2:20,23/03/2022 1:12,0.32,0.13,93.453,1.31,0,"$5,500,000",All outage LOA assigned to this record at this stage.,,
LY1_2022-03-16_RH_c,LY,LY1,15/03/2022,,0.2,1,RH,RH2,Lower bank,SBL B-C,Straight,,E65,T08,,,Rupture,Erosion,Erosion: Sootblower,5 prim failures.  But assume all condensate driven so count as 1 BTF.,2,,N,N,,,,,FU012201,Forced,16/03/2022 2:20,23/03/2022 1:12,0,0,0,0,90,0,LOA assigned to other RH2 record.,,
LY1_2022-03-16_RH_d,LY,LY1,15/03/2022,,0.2,1,RH,RH2,Lower bank,SBL B-C,Straight,,E70,T08,,,Rupture,Erosion,Erosion: Sootblower,5 prim failures.  But assume all condensate driven so count as 1 BTF.,2,,N,N,,,,,FU012201,Forced,16/03/2022 2:20,23/03/2022 1:12,0,0,0,0,90,0,LOA assigned to other RH2 record.,,
LY1_2022-03-16_RH_e,LY,LY1,15/03/2022,,0.2,1,RH,RH2,Lower bank,SBL B-C,Straight,,E07,T08,,,Rupture,Erosion,Erosion: Sootblower,5 prim failures.  But assume all condensate driven so count as 1 BTF.,2,,N,N,,,,,FU012201,Forced,16/03/2022 2:20,23/03/2022 1:12,0,0,0,0,90,0,LOA assigned to other RH2 record.,,
LY1_2022-03-16_RH_f,LY,LY1,15/03/2022,,0.2,1,RH,RH2,Lower bank,SBL B-C,Straight,,E12,T08,,,Rupture,Erosion,Erosion: Sootblower,5 prim failures.  But assume all condensate driven so count as 1 BTF.,2,,N,N,,,,,FU012201,Forced,16/03/2022 2:20,23/03/2022 1:12,0,0,0,0,90,0,LOA assigned to other RH2 record.,,
