Tagname,Description
BW.1S20G001..XQ01,GEN GROSS LOAD
BW.1A00T922..XQ11,AMBIENT AIR TEMP AVG
BW.1G11F010..XQ01,FEEDWATER FLOW 1
BW.1G11F020..XQ01,FEEDWATER FLOW 2
BW.1G11F030..XQ01,FEEDWATER FLOW 3
BW.1G11P050..XQ01,FW PRESS BEF ECON CHECK VLV
BW.1G11T010..XQ01,FW TEMP AFT HP HTRS
BW.1G21P050..XQ01,MAIN STM A PRS BFR TURB STP VLV
BW.1G21T010..XQ01,MN STM A TEMP BFR DRN
BW.1G22P050..XQ01,MAIN STM B PRS BFR TURB STP VLV
BW.1G22T010..XQ01,MN STM B TEMP BFR DRN
BW.1G23P050..XQ01,MAIN STM C PRS BFR TURB STP VLV
BW.1G23T010..XQ01,MN STM C TEMP BFR DRN
BW.1G24P050..XQ01,MAIN STM D PRS BFR TURB STP VLV
BW.1G24T010..XQ01,MN STM D TEMP BFR DRN
BW.1K10F005..XQ01,CNDR MU FLW - HI RNG
BW.1G20G005..XQ01,TSV STEAM SAT TEMP
BW.1E25M010..XQ01,BTLDS A SIDE LWR FURN CH 1
BW.1E25M015..XQ01,BTLDS A SIDE MID FURN CH 2
BW.1E60M010..XQ01,BTLDS A SIDE TERT SHTR CH 3
BW.1E50M010..XQ01,BTLDS A SIDE SEC SHTR CH 4
BW.1E00M010..XQ01,BTLDS A SIDE PENTHOUSE CH 5
BW.1E70M010..XQ01,BTLDS A SIDE FINAL SHTR CH 6
BW.1E80M010..XQ01,BTLDS A SIDE RHTR CENTRE CH 7
BW.1E40M010..XQ01,BTLDS A SIDE PRI SHTR CH 8
BW.1E80M015..XQ01,BTLDS A SIDE RHTR LWR CH 9
BW.1E11M010..XQ01,BTLDS A SIDE PRI ECON CH 10
BW.1E25M020..XQ01,BTLDS B SIDE LWR FURN CH 11
BW.1E25M025..XQ01,BTLDS B SIDE SEC SHTR CH 12
BW.1E60M020..XQ01,BTLDS B SIDE TERT SHTR CH 13
BW.1E50M020..XQ01,BTLDS B SIDE SEC SHTR CH 14
BW.1E00M020..XQ01,BTLDS B SIDE PENTHOUSE CH 15
BW.1E70M020..XQ01,BTLDS B SIDE FINAL SHTR CH 16
BW.1E80M020..XQ01,BTLDS B SIDE RHTR CENTRE CH 17
BW.1E40M020..XQ01,BTLDS B SIDE PRI SHTR CH 18
BW.1E80M025..XQ01,BTLDS B SIDE RHTR LWR CH 19
BW.1E11M020..XQ01,BTLDS B SIDE PRI ECON CH 20
BW.1E50M015..XQ01,BTLDS A SIDE SEC SHTR FRONT CH 21
BW.1E50M025..XQ01,BTLDS B SIDE SEC SHTR FRONT CH 22
BW.1E00M910..XQ01,CHANNELS 1-22 AVG
BW.1K10H015..XQ01,NETT MAKE-UP FLOW
BW.1K10H035..XQ01,MAKE-UP FLOW TOTAL
BW.1K10F001..XQ01,CNDR MU FLW - LO RNG
